"date('Y') === 2019";3
"$a !== $b";2
$user;2
"'a' !== strtolower('A')";2
[...$items];2
"""\$x""";1
"$a === 3";1
"$b === 4";1
"$c === 5";1
$test;1
"$x === $y";1
"(fn() => 1)()";1
"(static fn&($number): int => $number * $number)(5) === 25";1
"1 !== 2";1
"DIRECTORY_SEPARATOR === '\'";1
"['Cowabunga' => &$item] === 3";1
"[1 => &$item] === 3";1
"abc(1, 2, 3) === null";1
"clone $x";1
"eval('return 1337;')";1
exit;1
"in_array('test', ['test'])";1
"isset($_SESSION['user'], $_SESSION['user']['id'])";1
print('x');1
"static function&(string $test) use ($user) { /* CLOSURE */ }";1
